step,epoch,train_loss,learning_rate,grad_norm,eval_loss,perplexity
1,0.025518341307814992,2.0587291717529297,0.0,9.146078109741211,,
5,0.12759170653907495,1.9918535947799683,4.000000000000001e-06,11.304159164428711,,
10,0.2551834130781499,1.714090347290039,9e-06,8.16463565826416,,
15,0.3827751196172249,1.559833812713623,1.4000000000000001e-05,7.138418197631836,,
20,0.5103668261562998,1.1807856559753418,1.9e-05,3.5234811305999756,,
25,0.6379585326953748,0.7739462375640869,2.4e-05,2.453887939453125,0.5808774828910828,1.7876063585281372
30,0.7655502392344498,0.6259775161743164,2.9e-05,1.6184414625167847,,
35,0.8931419457735247,0.526780652999878,3.4000000000000007e-05,1.9765009880065918,,
40,1.0,0.4952047348022461,3.9000000000000006e-05,2.340697765350342,,
45,1.127591706539075,0.47000808715820314,4.4000000000000006e-05,1.3375003337860107,,
50,1.2551834130781498,0.43596911430358887,4.9e-05,1.081467628479004,0.4942740201950073,1.6393077373504639
55,1.3827751196172249,0.49457626342773436,4.959823971496574e-05,1.2120916843414307,,
60,1.5103668261562997,0.38386805057525636,4.7988194313786275e-05,1.5158051252365112,,
65,1.6379585326953747,0.5708326816558837,4.522542485937369e-05,1.3668164014816284,,
70,1.7655502392344498,0.4423999786376953,4.144846814849282e-05,1.670168399810791,,
75,1.8931419457735248,0.4212964534759521,3.6846716561824965e-05,1.4224001169204712,0.48979634046554565,1.631983757019043
80,2.0,0.43773274421691893,3.165092113916688e-05,3.5275681018829346,,
85,2.127591706539075,0.2891016244888306,2.6121620758762877e-05,1.1009645462036133,,
90,2.25518341307815,0.2923557758331299,2.0536077630034086e-05,1.0444977283477783,,
95,2.382775119617225,0.30240306854248045,1.5174374208651912e-05,1.2519640922546387,,
100,2.5103668261562997,0.2909555912017822,1.0305368692688174e-05,1.4237405061721802,0.5029671788215637,1.6536206007003784
105,2.6379585326953747,0.2829261541366577,6.173213349909729e-06,1.390587329864502,,
110,2.7655502392344498,0.3052601099014282,2.98511170358155e-06,0.9378760457038879,,
115,2.893141945773525,0.25673933029174806,9.009284826036691e-07,1.066483974456787,,
120,3.0,0.2783000707626343,2.5173336467135267e-08,2.7112295627593994,0.5051458477973938,1.6572271585464478
